UniqueID,Variable,Component,EMS_Code,CAS_ number,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
130,Benzo(a)pyrene,Total,EMS_PA05,(50-32-8),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.782,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
131,Benzo(a)pyrene,Total,EMS_PA05,(50-32-8),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.01,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
132,Benzo(a)pyrene,Total,EMS_PA05,(50-32-8),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0888,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
133,Benzo(a)pyrene,Total,EMS_PA05,(50-32-8),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.763,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
134,Benzo(a)pyrene,Total,EMS_PA05,(50-32-8),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.01,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
135,"Benzo(g,h,i)perylene",Total,EMS_PA07,(191-24-2),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,Effect level based on screening level concentration.,,,No Effect,Upper Limit,0.17,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
136,"Benzo(g,h,i)perylene",Total,EMS_PA07,(191-24-2),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,Effect level based on screening level concentration.,,,Probable Effect,Upper Limit,3.2,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
137,"Benzo(g,h,i)perylene",Total,EMS_PA07,(191-24-2),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.311,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
138,"Benzo(g,h,i)perylene",Total,EMS_PA07,(191-24-2),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.781,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
139,Benzo(k)fluoranthene,Total,EMS_PA08,(207-08-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.24,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
140,Benzo(k)fluoranthene,Total,EMS_PA08,(207-08-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,13.41,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
141,Benzofluoranthene,Total,EMS_PA08,(56832-73-6),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,Based on background approach method.,,,No Effect,Upper Limit,0.3,,ug/g,Working,"Environment Canada and Ministry of the Environment of Quebec (EC & QC MoE). July 1992. Interim criteria for quality assessment of St. Lawrence River Sediment. Environment Canada, St. Lawrence Centre, and Ministry of the Environment of Quebec.",,,
142,Benzofluoranthenes (All),Total,EMS_PA08,(56832-73-6),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,2.31,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
143,Benzofluoranthenes (All),Total,EMS_PA08,(56832-73-6),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,4.51,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
144,Beryllium,Total,EMS_BE_T,(7440-41-7),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,100,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
145,Beryllium,Total,EMS_BE_T,(7440-41-7),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,100,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
146,Beryllium,Total,EMS_BE_T,(7440-41-7),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.13,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
147,Beryllium,Total,EMS_BE_T,(7440-41-7),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,100,,ug/L,Working,"National Academy of Sciences-National Academy of Engineering (NAS-NAE). 1972. Water Quality Criteria 1972. Washington, DC (US): National Academy of Sciences and National Academy of Engineering. 625 p. (The Blue Book).",,,
148,Bis(2-ethylhexyl) phthalate (DEHP),Total,EMS_P014,(117-81-7),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.471,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
149,Bis(2-ethylhexyl) phthalate (DEHP),Total,EMS_P014,(117-81-7),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.781,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
150,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Moderately sensitive crops (red pepper, pea, carrot, radish, potato, cucumber).",No Effect,Upper Limit,2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
151,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Moderately tolerant crops (lettuce, cabbage, celery, turnip, Kentucky bluegrass, oat, corn, artichoke, tobacco, mustard, clover, squash, muskmelon).",No Effect,Upper Limit,4,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
152,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Sensitive crops (peach, cherry, plum, grape, cowpea, onion, garlic, sweet potato, wheat, barley, sunflower, mung bean, sesame, lupin, strawberry, Jerusalem artichoke, kidney bean, lima bean).",No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
153,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Tolerant crops (sorghum, tomato, alfalfa, purple vetch, parsley, red beet, sugar beet).",No Effect,Upper Limit,6,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
154,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,Very sensitive crops (blackberry).,No Effect,Upper Limit,0.5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
155,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,Very tolerant crops (asparagus).,No Effect,Upper Limit,15,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
156,Boron,Total,EMS_B__T,(7440-42-8),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
157,Boron,Total,EMS_B__T,(7440-42-8),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
158,Boron,Total,EMS_B__T,(7440-42-8),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
159,Boron,Total,EMS_B__T,(7440-42-8),Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
160,Boron,Total,EMS_B__T,(7440-42-8),Wildlife,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf
161,Bromacil,Total,EMS_B014,(314-40-9),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.2,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
162,Bromacil,Total,EMS_B014,(314-40-9),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.1,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
163,Bromacil,Total,EMS_B014,(314-40-9),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
164,Bromoxynil,Total,EMS_B009,(1689-84-5),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.33,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
165,Bromoxynil,Total,EMS_B009,(1689-84-5),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,11,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
166,Bromoxynil,Total,EMS_B009,(1689-84-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
167,Butyl benzyl phthalate,Total,EMS_P013,(85-68-7),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0491,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
168,Butyl benzyl phthalate,Total,EMS_P013,(85-68-7),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.641,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
169,Cadmium,Dissolved,EMS_CD_D,(7440-43-9),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,(!is.na(EMS_0107) & (EMS_0107 > 7 & EMS_0107 <= 455)) | (!is.na(EMS_1107) & (EMS_1107 > 7 & EMS_1107 <= 455)),,No Effect,Upper Limit,"exp(1.03 * log(EMS_0107, exp(1)) - 5.274)",,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cadmium/cd-user-guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cadmium/cadmium.pdf
170,Cadmium,Dissolved,EMS_CD_D,(7440-43-9),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,(!is.na(EMS_0107) & (EMS_0107 > 3.4 & EMS_0107 <= 285)) | (!is.na(EMS_1107) & (EMS_1107 > 3.4 & EMS_1107 <= 285)),,No Effect,Upper Limit,"exp(0.736 * log(EMS_0107, exp(1)) - 4.943)",,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cadmium/cd-user-guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cadmium/cadmium.pdf
171,Cadmium,Total,EMS_CD_T,(7440-43-9),Agriculture - Irrigation,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,5.1,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
172,Cadmium,Total,EMS_CD_T,(7440-43-9),Agriculture - Livestock,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,80,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
173,Cadmium,Total,EMS_CD_T,(7440-43-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.6,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
174,Cadmium,Total,EMS_CD_T,(7440-43-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,3.5,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
175,Cadmium,Total,EMS_CD_T,(7440-43-9),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.7,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
176,Cadmium,Total,EMS_CD_T,(7440-43-9),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,4.2,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
177,Cadmium,Total,EMS_CD_T,(7440-43-9),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.12,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
178,Cadmium,Total,EMS_CD_T,(7440-43-9),Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.005,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
179,Calcium,Dissolved,EMS_CA_D,(7440-70-2),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1000,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
180,Captan,Total,EMS_C005,(133-06-2),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,13,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
181,Captan,Total,EMS_C005,(133-06-2),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.3,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
182,Carbaryl,Total,EMS_C001,(63-25-2),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.1,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
183,Carbaryl,Total,EMS_C001,(63-25-2),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,a.i. = active ingredient,No Effect,Upper Limit,0.2,,ug a.i./L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
184,Carbaryl,Total,EMS_C001,(63-25-2),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,a.i. = active ingredient,No Effect,Upper Limit,0.29,,ug a.i./L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
185,Carbofuran,Total,EMS_C040,(1563-66-2),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,45,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
186,Carbofuran,Total,EMS_C040,(1563-66-2),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
187,Chlorate,Dissolved,EMS_CLO3,(14866-68-3),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,3,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-tr.pdf
188,Chlorate,Dissolved,EMS_CLO3,(14866-68-3),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,30,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-tr.pdf
189,Chlorate,Dissolved,EMS_CLO3,(14866-68-3),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-tr.pdf
190,Chlorate,Dissolved,EMS_CLO3,(14866-68-3),Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
191,Chlorate,Dissolved,EMS_CLO3,(14866-68-3),Wildlife,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,3,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-tr.pdf
192,Chlordane,Total,EMS_C013,(12789-03-6),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0045,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
193,Chlordane,Total,EMS_C013,(12789-03-6),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.00887,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
194,Chlordane,Total,EMS_C013,(12789-03-6),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00226,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
195,Chlordane,Total,EMS_C013,(12789-03-6),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.00479,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
196,Chloride,Dissolved,EMS_1104,(16887-00-6),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,100,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
197,Chloride,Dissolved,EMS_1104,(16887-00-6),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,600,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
198,Chloride,Dissolved,EMS_1104,(16887-00-6),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,600,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
199,Chloride,Dissolved,EMS_1104,(16887-00-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,150,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
200,Chloride,Dissolved,EMS_1104,(16887-00-6),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_1104 * 0.9,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
201,Chloride,Dissolved,EMS_1104,(16887-00-6),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,EMS_1104 * 1.1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
202,Chloride,Dissolved,EMS_1104,(16887-00-6),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,250,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
203,Chloride,Dissolved,EMS_1104,(16887-00-6),Wildlife,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,600,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,
