UniqueID,Variable,EMS_Code,Use,Media,Type,Days,Samples,Statistic,Notes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
269,Colour True,EMS_0002,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,No Effect,Upper Limit,15,,TCU,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
270,Colour True,EMS_0002,Recreation,Water,Aesthetic Objective,30,5,mean,,,,No Effect,Upper Limit,15,,TCU,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
271,Colour True,EMS_0002,Wildlife,Water,Long-term chronic,30,5,mean,30-day average true colour of filtered samples shall not exceed background levels by more than 5 mg/L Pt in clearwater systems or 20% in coloured systems,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
272,Conductivity Specific,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For low tolerance crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,0.7,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
273,Conductivity Specific,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For slightly tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,1.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
274,Conductivity Specific,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For moderately tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,2.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
275,Conductivity Specific,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,3.6,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
276,Conductivity Specific,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For very tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,5,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
277,Conductivity Specific,EMS_SC_F,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For low tolerance crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,0.7,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
278,Conductivity Specific,EMS_SC_F,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For slightly tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,1.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
279,Conductivity Specific,EMS_SC_F,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For moderately tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,2.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
280,Conductivity Specific,EMS_SC_F,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,3.6,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
281,Conductivity Specific,EMS_SC_F,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"For very tolerant crops. Low tolerance crops: strawberry, raspberry, bean, carrot; slightly tolerant crops: all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover; moderately tolerant crops: spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass; tolerant crops: beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegrass; very tolerant crops: asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass  (Source: Table 4-7 CCREM 1987).",,,No Effect,Upper Limit,5,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
282,Copper Dissolved,EMS_CU_D,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,Must be calculated using BLM software,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
283,Copper Dissolved,EMS_CU_D,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Must be calculated using BLM software,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
284,Copper Total,EMS_CU_T,Agriculture - Irrigation,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,200,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
285,Copper Total,EMS_CU_T,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,300,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
286,Copper Total,EMS_CU_T,Aquatic Life - Estuarine,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
287,Copper Total,EMS_CU_T,Aquatic Life - Estuarine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
288,Copper Total,EMS_CU_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,35.7,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
289,Copper Total,EMS_CU_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,197,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
290,Copper Total,EMS_CU_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,18.7,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
291,Copper Total,EMS_CU_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,108,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
292,Copper Total,EMS_CU_T,Aquatic Life - Marine,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
293,Copper Total,EMS_CU_T,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
294,Copper Total,EMS_CU_T,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
295,Copper Total,EMS_CU_T,Wildlife,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,300,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
296,Cyanazine,EMS_CYNZ,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
297,Cyanazine,EMS_CYNZ,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,10,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
298,Cyanazine,EMS_CYNZ,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
299,Cyanide,EMS_CN_F,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,No Effect,Upper Limit,0.2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
300,Cyanide weak acid dissociable,EMS_0157,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,10,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cyanide-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cyanide-tech.pdf
301,Cyanide weak acid dissociable,EMS_0157,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,5,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cyanide-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cyanide-tech.pdf
302,Cyanobacterial Toxins: Total Cyanobacteria,,Recreation,Water,Primary Contact,1,1,max,,,,No Effect,Upper Limit,100000,,cells/mL,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
303,Cyanobacterial Toxins: Microcystin LR,,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,No Effect,Upper Limit,0.0015,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
304,Cyanobacterial Toxins: Total Microcystins,,Recreation,Water,Primary Contact,1,1,max,,,,No Effect,Upper Limit,0.02,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
305,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 = 5.0,,No Effect,Upper Limit,1,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
306,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 5.0 & EMS_0004 <=5.5,,No Effect,Upper Limit,2,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
307,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 5.5 & EMS_0004 <=6.0,,No Effect,Upper Limit,2,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
308,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 6.0 & EMS_0004 <=6.5,,No Effect,Upper Limit,4,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
309,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 6.5 & EMS_0004 <=7.0,,No Effect,Upper Limit,8,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
310,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 7.0 & EMS_0004 <=7.5,,No Effect,Upper Limit,12,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
311,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 7.5 & EMS_0004 <=8.0,,No Effect,Upper Limit,13,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
312,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 8.0 & EMS_0004 <=8.5,,No Effect,Upper Limit,14,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
313,Dehydroabietic acid (DHA),EMS_D052,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0004 > 8.5 & EMS_0004 <= 9.0,,No Effect,Upper Limit,14,,ug/L,Working,"Environment Ontario. 1988. Scientific Criteria Document for Development of Provincial Water Quality Objectives and Guidelines, Resin Acids. ISBN 0-7729-4347-8.",,,
314,Deltamethrin,EMS_D079,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2.5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
315,Deltamethrin,EMS_D079,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.0004,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
316,Di-(2-ethylhexyl) phthalate (DEHP),EMS_P014,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,16,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
317,Di-n-butyl phthalate,EMS_P012,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,2.21,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
318,Di-n-butyl phthalate,EMS_P012,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,171,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
319,Di-n-butyl tin Total,EMS_DISN,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.08,,ug/L,Working,"Ontario Ministry of Environment and Energy.  1994. Water Management Policies, Guidelines, Provincial Water Quality Objectives of the Ministry of Environment and Energy. 32 p.",,,
320,Di-n-octyl phthalate,EMS_P014,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.581,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
321,Di-n-octyl phthalate,EMS_P014,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,451,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
322,"Dibenzo(a,h)anthracene",EMS_PA10,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.00622,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
323,"Dibenzo(a,h)anthracene",EMS_PA10,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.135,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
324,"Dibenzo(a,h)anthracene",EMS_PA10,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.00622,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
325,"Dibenzo(a,h)anthracene",EMS_PA10,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.135,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
326,Dibenzofuran,EMS_PA68,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.151,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
327,Dibenzofuran,EMS_PA68,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.581,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
328,"Dibutyl phthalate (DBP, di-n-butylphthalate)",EMS_P012,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,19,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
